User,Text,Followers,Retweets,Favorites,
OFroggie,"FORMER U.S. AMBASSADOR TO GERMANY,
AND SPECIAL U.S. ENVOY TO SERBIA, KOSOVO

""THE MOVE IS FASCIST AND FOOLISH. SERBS,
 DON'T FALL FOR IT""

""ALBIN KURTI, KOSOVO PRIME MINISTER,
 A FAR LEFT FASCIST JUST TRYING TO IMPROVE
 SINKING POLL NUMBERS""

BLINKEN, JAKE SNAKE SULLIVAN, SILENT?",26,0,0,2022-08-01 19:52:36+00:00
CalebMiles20,"@plovdivbrigade @Valere_ia @stelarosa555555 @Giobegood @Ghostofk1ev @redflag3rd @Biezer11 @Filomen03258997 @Earnest101 @DagnyTaggart369 @NenadicVesna @dmagcia @AltTankie @NikkiRo18946833 In fact, the Anglo Alliance are further radicalising Kosovo’s Albanians &amp; encouraging destabilisation in the Balkans. Instead of punishing Kosovo’s Prime Minister Albin Kurti for banning Kosovo Serbs from voting, they reward him with weapons &amp; further integration into NATO.
🤦‍♂️🤦‍♂️",720,2,3,2022-08-01 19:17:37+00:00
besimabdullai,"@RichardGrenell @JakeSullivan46 @ABlinken You supporting fascists of Serbia makes you fascist, not Albin Kurti who is protecting the sovereignty of his country. Who are you to judge Kosova?  Kosova has its own Institutions, Police and Army. Also KFOR is there.  Rule of Law must be applied for all people of Kosova.",109,0,1,2022-08-01 19:00:33+00:00
Vetigram81,"@BrianSC11256627 @TessDeVries5 Albin Kurti just want to serbia recognize documents of Kosovo, nothing else.",90,0,2,2022-08-01 18:27:27+00:00
gentikos,@RichardGrenell I call bullshit on you and your lobying firm financed by Serbia. God bless USA and Albin Kurti.,426,0,3,2022-08-01 17:50:29+00:00
ReelAlban,"@GPeskir @ViolavonCramon Gordana if Grenell is that good, take him home to your husband of sons...

The Republic of Kosova has boss in house.... PM ALBIN KURTI 😎",82,0,3,2022-08-01 17:24:42+00:00
Endiem5,@albinkurti Albin Kurti... terrorist...as we all know,634,0,0,2022-08-01 16:30:26+00:00
politblogme,"A  correction: Blinken was welcoming Kosovo President and PM in the US. Basically this changes nothing.

The follow up of that visit is in front of everybody's eyes. 
https://t.co/rsRb0oS4EZ",45716,14,71,2022-08-01 16:17:26+00:00
DecaniMonastery,"Ekonomia Online (#Kosovo Albanian portal)
“Prime Minister Albin Kurti and President Vjosa Osmani confirmed that the Dečani #Monastery was discussed at the meeting with US State Secretary Antony Blinken.” https://t.co/r1OjW5uDFk Let’s hope justice will prevail for our Monastery🙏 https://t.co/R2u5ushn3I",32484,2,49,2022-08-01 16:05:53+00:00
NebojsaMalic,"Back in February 2021, I gave my assessment of Albin Kurti's return to ""power"" in Kosovo. Yesterday's events proved me right:
https://t.co/WEvq6fagjT",6604,1,22,2022-08-01 16:03:16+00:00
lorik_hysenaj,"The spokesperson of the European Union, Peter Stano, has confirmed for Klan Kosova that Prime Minister of #Kosovo Albin Kurti and #Serbian President Aleksandar Vucic have been invited to Brussels.",47,0,1,2022-08-01 14:54:32+00:00
MatreshkaCB,"“What's happening in the Balkans isn't Russia. Whoever says this to you is trying to manipulate you,"" Grenell tweeted on Sunday evening. ""This is about Albin Kurti trying once again
to give it (to) Serbia. He is living in the past.""",1472,0,1,2022-08-01 14:51:04+00:00
aMePrGQX3dSE6TX,"Prime Minister of Kosovo Albin Kurti confirms that as a result of what he describes as ""criminal behavior"" over the border of Serbia, several shots were fired in the air with the aim of ""destabilizing the region"". https://t.co/EkXtcAocQO",305,1,0,2022-08-01 14:47:18+00:00
baniii2011,"@RichardGrenell Albin Kurti is the PM of the Republic of Kosovo, he has the support of 51% of the people in elections and 100% in case of any conflict with Serbian FASCIST. I also have a question, why are all the former officials instead of the officials declaring mostly about this situation?!",2,0,0,2022-08-01 14:19:09+00:00
MujaRijad,@RichardGrenell We love Albin Kurti but not you.,31,0,0,2022-08-01 14:00:24+00:00
RedRavenRks,@RichardGrenell Albin Kurti will not impose reciprocity if serbia recognizes RKS ID's and plates. But if serbia wants to impose something and reject the same thing when the others do it is NECESSARY.,58,0,1,2022-08-01 13:53:55+00:00
Ratzenschwarz,"@TessDeVries5 Last I've seen, it's Albin Kurti who's not giving Serbs in North Kosovo a break.",3,0,1,2022-08-01 13:41:10+00:00
PrelStanisha,"@RichardGrenell That´s not true. By the way, Albin Kurti is not good for your health...you got stuck.",0,0,0,2022-08-01 13:31:38+00:00
enric0palazz0,@RichardGrenell Another nonsense tweet. Albin Kurti is a patriot! 🇺🇸🇦🇱♥️,35,0,0,2022-08-01 13:30:16+00:00
BujarRexhepi2,"@RichardGrenell Another Russian spokesman 🤦🏻
You r so little,.that your aim can be seen from moon 🌙.So partial so divisive. 
U playing the role of a Serbian criminal who never killed a Albanian, in fact you killed also, by failing Albin Kurti 1 government. Fanatic criminal",6,0,0,2022-08-01 13:23:39+00:00
RichardGrenell,"Albin Kurti rejected the idea of mutually recognizing license plates, and he’s never implemented his government’s commitment to recognize diplomas and professional certificates. 

The people of Kosovo deserve better.",885913,61,359,2022-08-01 13:20:47+00:00
BalkanInsight,"#Kosovo PM Albin Kurti said on Monday that movement in crossing points will be restored once all barricades are removed.

Read our background on this topic 👇

https://t.co/tH7HZDK7fY",64366,2,5,2022-08-01 12:44:03+00:00
mm_vas,"Albanian separatist ‘leader’ Albin Kurti nearly started a war last evening
🟥Introduced discriminatory ‘law’ to ban Serbian license plates and official documents in #Kosovo*

🟥Sent the so-called ‘#Kosovo police’ to invade the mostly Serb North #Kosovo and enforce the law

(1)👇🏼",83,0,0,2022-08-01 12:26:22+00:00
meritonigol,"@RichardGrenell How you know what we want, why did more then 50% voted for Albin Kurti first time in the history of Kosovo. Sad",13,0,0,2022-08-01 12:06:00+00:00
besimcara,"@RichardGrenell @JakeSullivan46 @ABlinken shame on you  Albin Kurti didn't kill anyone call him a fascist, you have fascists in Belgrade, you know this well",7,0,0,2022-08-01 12:02:36+00:00
TheresaAFallon,"Kosovo’s PM Albin Kurti stated Sun:“Govt of Kosova forcefully condemns the obstruction of roads in N. of Kosova &amp; the firing of weapons by armed persons there today.” Police in Kosovo said that shots were fired “in direction of police units” but no one was wounded,acc to @Reuters",37964,6,6,2022-08-01 11:58:48+00:00
vullnet6969,"@RichardGrenell We love our albin kurti and vjosa osmani the best what could happen to us , you instead you clown go eat some Serbian dollars you get paid so you have a little existence in you 😉",9,0,0,2022-08-01 11:54:44+00:00
MagroesBeats,"@HoutmanBas 1. It’s actually Albin Kurti and Vjosa Osmani that came to Washington
2. Kosovo and Serbia have a long history of tension but I’m sure that you’ve only discovered Kosovo yesterday
3. You are no geopolitical expert, keep your expertise for yourself",19,0,0,2022-08-01 11:53:56+00:00
Svidomi_En,"This was confirmed by the Prime Minister of 🇽🇰, Albin Kurti, who also accused the President of 🇷🇸, Aleksandar Vučić, and the Head of the Office for 🇽🇰and Metohija of the Government of 🇷🇸, Petar Petković, of the riots.",3714,0,1,2022-08-01 11:53:54+00:00
HaMuFa2020,"And here is the customer of the #conflict in #Serbia and #Kosovo.

U.S. Secretary of State Anthony #Blinken met with Prime Minister of Kosovo Albin #Kurti and President of Kosovo Vyosa #Osmani on July 26.

#KosovoSerbia 
#SerbiaKosovo https://t.co/dg8elwk6UD",336,3,0,2022-08-01 11:47:08+00:00
vullnet6969,@RichardGrenell Kurti and vjosa are the best politicians which we ever had for the Albanian community sorry if you only like thaci who are going by your ear and who also follow your comments this is what you won’t get from albin or vjosa because they are smart and actually are helping Kosovo.,9,0,0,2022-08-01 11:45:04+00:00
BlackKingCrypto,"@RichardGrenell @ABlinken @USRepKeating You, thaci and vucic are the men who made Albin Kurti Primeminister. Your rhetoric made him PrimeMinister. Next election Albin Kurti will win with 83%.",592,0,3,2022-08-01 11:40:40+00:00
HD_PatFisher,"“The Government of the Republic of Kosovo is democratic and progressive, which loves,respects and implements the law and constitutionalism, peace and security,for all citizens without distinction and for our entire common country,” Prime Minister Albin  Kurti said. 
I get chills.",264,0,1,2022-08-01 11:35:51+00:00
TamoDalekO11,"@noclador Any idea, who's gonna defend Serbian population in Kosovo from Albin Kurti and Albanians?",39,0,7,2022-08-01 11:30:18+00:00
RAIsenzaBerlusc,"And here is the customer of the conflict in #Serbia and #Kosovo.

 #USA Secretary of State Anthony #Blinken met with Prime Minister of Kosovo Albin #Kurti and President of Kosovo Vyosa #Osmani on July 26 https://t.co/3lFMCLstwk",442,1,3,2022-08-01 11:27:25+00:00
